hotel_place_id,nearby_place_name,nearby_place_type,distance,latitude,longitude
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bi-Obses,Belanja,0.49,-6.931.986,10.762.237
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Rumah Yatim,Lainnya,0.5,-6.931.231.899.999.990,1.076.233.902
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Sophie Paris,Belanja,0.52,-69.349.882,1.076.205.515
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Astrid Wedding Service,Lainnya,0.55,-69.305.469,1.076.238.034
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Skreen And Sound,Lainnya,0.56,-69.401.185,1.076.266.997
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Optik Melawai Sunglasses Store Ruko Buah Batu Bandung,Kesehatan,0.57,-6.940.357.199.999.990,10.762.629
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Dunia Tutorial,Lainnya,0.58,-6.932.026,107.621.195
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,PT. Pan Pacific Insurance - Bandung,Lainnya,0.58,-69.344.307,1.076.200.503
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,"PT. Asuransi Tugu Pratama Indonesia, Tbk Cabang Bandung",Lainnya,0.59,-6.938.005.499.999.990,107.620.586
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Persona Study: Privat Bahasa Inggris di Bandung Terbaik,Lainnya,0.63,-69.306.076,1.076.219.944
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,PT Srikandi Diamond Motors - Pelajar Pejuang,Belanja,0.65,-69.296.772,1.076.266.092
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Permata Bank KCP Buah Batu Bandung,Keuangan,0.67,-69.412.005,1.076.265.609
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Kumon Palasari,Lainnya,0.68,-69.296.143,1.076.229.059
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Anata Salon Banteng 36,Jasa,0.68,-6.931.755.099.999.990,1.076.202.011
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bandung Organizer - Event Organizer Bandung,Lainnya,0.69,-69.377.567,1.076.195.043
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,BNI BUAH BATU,Keuangan,0.69,-69.412.325,1.076.271.608
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,"ERFA, Skin Treatment Clinic",Kesehatan,0.69,-69.404.709,1.076.287.637
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,SMK LPPM RI & SMA Karya Agung,Pendidikan,0.69,-69.370.999,1.076.192.322
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,RedDoorz Plus near Asia Afrika 2,Penginapan,0.77,-6.931.629,1.076.192.831
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Natasha Skin Clinic Center,Kesehatan,0.79,-69.284.654,1.076.232.611
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Pegadaian CP Buah Batu,Keuangan,0.79,-6.941.967.699.999.990,1.076.277.641
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Nasi Pedas Maicih,Restoran,0.79,-69.370.781,1.076.321.684
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Penerbit Informatika,Belanja,0.82,-6.932.364.700.000.000,1.076.183.967
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,WanaArtha Life,Keuangan,0.83,-69.279.496,1.076.265.206
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Dahlia Dewantara. PT - Talaga Bodas (Head Office),Lainnya,0.83,-6.928.421.900.000.000,1.076.223.488
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Gerbang Kencana Lestari,Lainnya,0.89,-6.941.182.799.999.990,1.076.306.517
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Malaka Hotel,Penginapan,0.94,-69.270.799,1.076.232.181
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,KoolKost @ Jalan Suryalaya,Penginapan,01.02,-69.442.258,1.076.229.263
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Pass-Hill House,Penginapan,01.04,-6.943.691.100.000.000,1.076.210.798
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Hotel Bali Indah,Penginapan,1.15,-6.938.164.700.000.000,1.076.151.735
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,La Nostalgie Boutique Hotel Bandung,Penginapan,1.17,-6.924.826.899.999.990,1.076.262.227
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,OYO 1932 Srimahi Residence,Penginapan,1.2,-69.364.423,1.076.144.342
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Emungkagure,Penginapan,1.2,-69.273.957,1.076.177.876
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Moralas,Belanja,1.21,-69.332.302,1.076.144.303
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Emia Hotel,Penginapan,1.25,-6.924.082.299.999.990,1.076.248.846
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Hotel O Pondok Penginapan Patradisa,Penginapan,1.25,-6.924.675,1.076.288.025
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,The Papandayan Hotel,Penginapan,1.33,-6.923.502,107.623.725
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,SUPER OYO Collection O 25 Hotel Baltika,Penginapan,1.37,-6.923.264.700.000.000,1.076.225.257
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bandung,Lainnya,2.1,-69.174.639,1.076.191.228
ChIJd9tPhxzoaC4RxHBKCi82lDU,ATM BNI,Keuangan,0.04,-69.387.607,1.076.628.992
ChIJd9tPhxzoaC4RxHBKCi82lDU,Bank Bukopin KK Dolog Bandung,Keuangan,0.05,-6.938.794.699.999.990,1.076.629.061
ChIJd9tPhxzoaC4RxHBKCi82lDU,ATM Mandiri,Keuangan,0.06,-69.388.792,1.076.627.871
ChIJd9tPhxzoaC4RxHBKCi82lDU,ATM Bank KB Bukopin,Keuangan,0.06,-6.938.879.500.000.000,1.076.627.871
ChIJd9tPhxzoaC4RxHBKCi82lDU,Harlie Tour,Transportasi,0.07,-69.378.267,1.076.632.356
ChIJd9tPhxzoaC4RxHBKCi82lDU,Dinas Koperasi Usaha Mikro Kecil Dan Menengah Kota Bandung,Lainnya,0.08,-6.937.950.699.999.990,1.076.636.793
ChIJd9tPhxzoaC4RxHBKCi82lDU,Fashion Bandung online,Belanja,0.11,-6.939.384.800.000.000,1.076.632.955
ChIJd9tPhxzoaC4RxHBKCi82lDU,GBKP Majelis Bandung Timur,Tempat Ibadah,0.13,-6.937.787.999.999.990,107.662.167
ChIJd9tPhxzoaC4RxHBKCi82lDU,Kantor Cabang SAI Indonesia. PT,Lainnya,0.13,-69.395.658,107.663.264
ChIJd9tPhxzoaC4RxHBKCi82lDU,McDonald's - Soekarno Hatta,Restoran,0.14,-69.396.632,1.076.627.055
ChIJd9tPhxzoaC4RxHBKCi82lDU,Pertamina gas station 34-40201,SPBU,0.15,-6.939.623.099.999.990,1.076.625.278
ChIJd9tPhxzoaC4RxHBKCi82lDU,cctvarea,Lainnya,0.16,-6.937.663.199.999.990,1.076.618.499
ChIJd9tPhxzoaC4RxHBKCi82lDU,Yayasan Tulus Cendekia,Lainnya,0.17,-69.371.497,1.076.638.866
ChIJd9tPhxzoaC4RxHBKCi82lDU,OT (Arta Boga Cemerlang),Restoran,0.17,-6.938.319.699.999.990,1.076.615.389
ChIJd9tPhxzoaC4RxHBKCi82lDU,GATRiK,Lainnya,0.18,-6.937.360.099.999.990,1.076.618.881
ChIJd9tPhxzoaC4RxHBKCi82lDU,Gehu Pedas HOT JELETOT,Restoran,0.18,-6.939.955.799.999.990,1.076.636.134
ChIJd9tPhxzoaC4RxHBKCi82lDU,Pt Inti Abadi Sentosa,Lainnya,0.2,-6.937.540.800.000.000,1.076.615.103
ChIJd9tPhxzoaC4RxHBKCi82lDU,Ayam Bakar KQ5,Restoran,0.2,-69.393.544,1.076.646.575
ChIJd9tPhxzoaC4RxHBKCi82lDU,Komputer Kasir Bandung,Lainnya,0.2,-69.367.987,1.076.622.756
ChIJd9tPhxzoaC4RxHBKCi82lDU,Telkomsel Regional Jawa Barat,Lainnya,0.21,-6.938.349.699.999.990,1.076.611.557
ChIJd9tPhxzoaC4RxHBKCi82lDU,Telekomunikasi Selular. PT,Lainnya,0.21,-69.390.955,1.076.613.164
ChIJd9tPhxzoaC4RxHBKCi82lDU,PT Rocksense Inti Gemilang,Lainnya,0.21,-6.936.615.900.000.000,1.076.624.797
ChIJd9tPhxzoaC4RxHBKCi82lDU,Bumi Arasy Group,Kesehatan,0.21,-69.402.864,1.076.635.836
ChIJd9tPhxzoaC4RxHBKCi82lDU,Salon Love Princess,Jasa,0.22,-6.940.356.899.999.990,107.663.683
ChIJd9tPhxzoaC4RxHBKCi82lDU,PT Tigaraksa Satria,Lainnya,0.29,-6.940.261.800.000.000,1.076.612.192
ChIJd9tPhxzoaC4RxHBKCi82lDU,PT. Position Consultant,Lainnya,0.3,-69.396.562,1.076.655.674
ChIJd9tPhxzoaC4RxHBKCi82lDU,Apotek Kimia Farma - Ranca Bolang,Kesehatan,0.31,-69.412.352,1.076.635.014
ChIJd9tPhxzoaC4RxHBKCi82lDU,OYO Living 2517 Apt. The Suites Metro By Prisma,Penginapan,0.42,-6.938.326,1.076.592.856
ChIJd9tPhxzoaC4RxHBKCi82lDU,Vocational High School 7 Bandung,Lainnya,0.42,-6.940.638.799.999.990,107.659.982
ChIJd9tPhxzoaC4RxHBKCi82lDU,OYO Life 3163 The Suites Metro Cozy Home,Penginapan,0.43,-6.937.893.400.000.000,1.076.592.197
ChIJd9tPhxzoaC4RxHBKCi82lDU,Bank Sinarmas - MTC,Keuangan,0.48,-6.940.755.599.999.990,1.076.594.097
ChIJd9tPhxzoaC4RxHBKCi82lDU,PT. Jasaraharja Putera,Lainnya,0.5,-69.394.762,1.076.586.852
ChIJd9tPhxzoaC4RxHBKCi82lDU,Margahayuland,Lainnya,0.51,-69.392.513,1.076.676.044
ChIJd9tPhxzoaC4RxHBKCi82lDU,PT Kwarsa Hexagon,Lainnya,0.51,-6.943.045.000.000.000,1.076.633.063
ChIJd9tPhxzoaC4RxHBKCi82lDU,PT. Solarens Ledindo - Administration Office,Lainnya,0.51,-69.418.766,1.076.600.251
ChIJd9tPhxzoaC4RxHBKCi82lDU,Pegadaian,Keuangan,0.51,-6.940.813.299.999.990,1.076.670.476
ChIJd9tPhxzoaC4RxHBKCi82lDU,Dinas Permukiman dan Perumahan Provinsi Jawa Barat,Lainnya,0.52,-6.933.862.299.999.990,1.076.621.443
ChIJd9tPhxzoaC4RxHBKCi82lDU,PT. Fujicon Priangan Perdana,Lainnya,0.52,-6.941.891,107.659.996
ChIJd9tPhxzoaC4RxHBKCi82lDU,Interindo Apartment,Penginapan,0.54,-6.939.457.900.000.000,1.076.583.538
ChIJd9tPhxzoaC4RxHBKCi82lDU,WPC Logistics (PT. Windu Persada Cargo) - Bandung,Lainnya,0.54,-69.420.696,1.076.598.937
ChIJd9tPhxzoaC4RxHBKCi82lDU,Citra Nusa Insan Cemerlang (CNI). PT - Bandung Metro,Lainnya,0.55,-6.939.611.999.999.990,1.076.582.691
ChIJd9tPhxzoaC4RxHBKCi82lDU,SMK Tadika Castle Bandung,Lainnya,0.55,-6.936.987.299.999.990,1.076.678.232
ChIJd9tPhxzoaC4RxHBKCi82lDU,Pt. Sumber Aneka Power,Belanja,0.56,-6.940.793.999.999.990,107.658.655
ChIJd9tPhxzoaC4RxHBKCi82lDU,Wuling Soekarno Hatta,Belanja,0.56,-69.384.173,1.076.682.104
ChIJd9tPhxzoaC4RxHBKCi82lDU,Bimbingan Belajar Tridaya - MTC Ruko E10,Lainnya,0.57,-69.412.923,1.076.588.056
ChIJd9tPhxzoaC4RxHBKCi82lDU,Airindo Sakti. PT - Bandung,Lainnya,0.57,-69.426.333,107.660.143
ChIJd9tPhxzoaC4RxHBKCi82lDU,Ganesha Operation MTC,Lainnya,0.58,-6.941.487.499.999.990,1.076.588.766
ChIJd9tPhxzoaC4RxHBKCi82lDU,KFC - Metro Indah Mall,Restoran,0.61,-69.421.265,1.076.589.741
ChIJd9tPhxzoaC4RxHBKCi82lDU,Primagama,Lainnya,0.61,-69.427.638,1.076.597.278
ChIJd9tPhxzoaC4RxHBKCi82lDU,Akuntan Publik,Keuangan,0.61,-69.420.825,1.076.590.297
ChIJd9tPhxzoaC4RxHBKCi82lDU,PT.Megah Medika Pharma,Belanja,0.68,-69.419.952,1.076.581.326
ChIJd9tPhxzoaC4RxHBKCi82lDU,OYO 2405 The Karins Guesthouse Syariah,Penginapan,0.72,-69.433.628,1.076.672.702
ChIJd9tPhxzoaC4RxHBKCi82lDU,ATR/BPN Kanwil Jabar,Lainnya,0.74,-6.940.992.499.999.990,107.656.961
ChIJd9tPhxzoaC4RxHBKCi82lDU,JNE MARGAHAYU RAYA,Lainnya,0.85,-69.439.433,1.076.684.212
ChIJd9tPhxzoaC4RxHBKCi82lDU,Agen Tawas Cair Deodorant Alami Bandung,Belanja,0.87,-6.946.245.599.999.990,1.076.630.805
ChIJd9tPhxzoaC4RxHBKCi82lDU,Mitra Chemindo Utama. PT - Bandung,Lainnya,0.9,-6.937.763.299.999.990,1.076.712.613
ChIJd9tPhxzoaC4RxHBKCi82lDU,OYO 2452 Hotel Metro,Penginapan,0.95,-6.940.867.799.999.990,1.076.548.418
ChIJd9tPhxzoaC4RxHBKCi82lDU,Hotel Nusantara Syariah,Penginapan,1.19,-6.942.021.799.999.990,1.076.529.661
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Toserba Ling Chick,Belanja,0.02,-69.128.407,1.075.779.364
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,KPM KSP Persada Madani,Keuangan,0.03,-69.129.479,1.075.779.169
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Panasia Indosytec Tbk. PT - Head Office Bandung,Lainnya,0.04,-6.912.637.699.999.990,1.075.777.214
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Refanity Tas Spunbond,Belanja,0.07,-6.912.229,107.577.695
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,ROYAL ROSEWOOD (Workshop),Belanja,0.08,-6.913.445.099.999.990,1.075.780.911
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Toko Subur Motor,Transportasi,0.08,-69.120.208,1.075.777.934
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT. Multi Wahana Kencana,Belanja,0.11,-6.911.682.300.000.000,1.075.781.853
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Bagus Ayu,Jasa,0.12,-6.912.439.199.999.990,1.075.791.224
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Percetakan Andira Cakrawala Abadi Bandung,Belanja,0.13,-6.913.867.199.999.990,1.075.777.347
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Masjid Garuda,Tempat Ibadah,0.14,-6.913.314.499.999.990,1.075.769.978
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Jual Buah Merah dan sarang semut papua,Belanja,0.15,-6.914.032,1.075.783.706
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT. Sinar Ragamindo Utama,Lainnya,0.17,-69.141.368,1.075.784.774
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Midwifery Academy,Pendidikan,0.17,-6.911.192,107.578.405
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT. Internusa Sinergi Indonesia (Intermech Indonesia),Lainnya,0.19,-6.914.244.500.000.000,1.075.788.693
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,NAP Computer || Service komputer laptop printer,Lainnya,0.2,-69.112.262,1.075.770.719
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,TB. Garuda Jaya,Belanja,0.21,-6.913.872.599.999.990,1.075.795.222
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Vindo Soewardono SS,Lainnya,0.21,-69.120.706,1.075.763.119
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,TK YWKA,Pendidikan,0.22,-691.369,1.075.763.566
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Unihome Furniture,Belanja,0.24,-69.132.643,1.075.801.528
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,SPLASH KITCHEN,Restoran,0.24,-69.147.984,1.075.775.647
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Noah's Barn Coffeenery,Restoran,0.24,-6.914.806.599.999.990,1.075.775.687
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Vindo Soewardono Catering,Restoran,0.24,-6.912.805.499.999.990,1.075.758.647
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Rajawali Radio & Rajawali TV Bandung,Lainnya,0.25,-6.913.363.500.000.000,1.075.758.917
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Witel Bandung Barat (Plaza Telkom Rajawali),Lainnya,0.27,-6.912.773,1.075.756.051
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Didi Max Berjangka,Keuangan,0.28,-6.910.158.499.999.990,10.757.796
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,SMA YWKA Bandung,Pendidikan,0.28,-6.914.115.499.999.990,1.075.759.244
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Jaket Kulit,Lainnya,0.3,-6.915.268.500.000.000,1.075.773.578
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Gita Print Offset Printing / PT. Gita Persada Rajawali,Belanja,0.31,-6.911.953.399.999.990,1.075.807.883
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,34.40131 Pertamina Gas Station,SPBU,0.33,-69.097.271,107.578.217
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,ANGZ Doors & Windows Center Bandung,Belanja,0.33,-69.156.356,1.075.784.872
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Bank BRI,Keuangan,0.34,-6.912.612.899.999.990,1.075.750.314
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT Wahana Interfood Nusantara Tbk (SCHOKO),Lainnya,0.35,-6.910.741.499.999.990,1.075.755.426
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT DiAntara Inter Media,Lainnya,0.35,-6.910.741.499.999.990,1.075.755.426
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,JNE Rajawali,Lainnya,0.36,-6.915.667.500.000.000,1.075.793.685
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT Rajawali Medika Mandiri,Kesehatan,0.37,-6.911.644.099.999.990,1.075.812.829
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Service Center Miyako Rinnai Shimizu Bandung,Belanja,0.37,-69.094.256,1.075.786.906
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Aroma Manis Marshmallow Halal,Restoran,0.38,-69.124.997,1.075.746.271
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Pertamina gas station 34-40126,SPBU,0.38,-6.912.915.799.999.990,1.075.746.204
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Master Tjendana,Transportasi,0.39,-691.243,1.075.816.252
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Braunberrie Timeless Portraiture,Lainnya,0.4,-6.914.372,107.574.904
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Warung Haji Gendut,Restoran,0.47,-69.164.973,1.075.800.017
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Pegadaian UPC Garuda,Keuangan,0.51,-69.081.513,1.075.788.381
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Rumah Sakit Rajawali,Kesehatan,0.51,-6.912.396.499.999.990,1.075.734.226
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,MAJUJAYA Bandung,Belanja,0.51,-6.912.655.499.999.990,1.075.827.249
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Kumon Indonesia - Sudirman 634,Pendidikan,0.53,-69.175.033,107.578.318
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Kementerian Agama Provinsi Jawa Barat,Lainnya,0.53,-69.173.878,1.075.771.313
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT. Ganda Arya Pratama,Lainnya,0.58,-6.917.539,1.075.761.403
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Anugerah Bestari Tour & Travel,Belanja,0.65,-69.070.671,107.579.531
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Capital O 2218 Sudirman Suites Apartement,Penginapan,0.66,-6.917.734.599.999.990,1.075.813.044
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Kantor Kecamatan Andir,Lainnya,0.66,-6.908.289.399.999.990,1.075.741.258
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT Lautan Luas Tbk,Lainnya,0.78,-6.915.726.599.999.990,1.075.717.373
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT Suryaputra Sarana (Mitsubishi Sudiman Bandung),Belanja,0.79,-6.913.019.599.999.990,1.075.708.934
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,BNI Life Insurance. PT - Mandiri Bandung,Keuangan,0.84,-6.907.463.599.999.990,1.075.835.856
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Apotek Kimia Farma 204 Abdul Rahman Saleh,Kesehatan,0.86,-6.907.688.999.999.990,1.075.840.197
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Bengkel Mobil Daya motor,Transportasi,0.87,-69.194.871,1.075.741.926
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Arte Suave Brazilian Jiujitsu Bandung,Olahraga,0.88,-6.906.697,107.583.279
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,PT Central Bandung Raya,Kesehatan,0.9,-69.102.279,1.075.858.526
ChIJZRnuuQvmaC4ReCG15Q1u2Ho,Soccer Coop Jatayu Center,Lainnya,01.01,-6.909.504.900.000.000,1.075.866.224
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Bank Victoria Syariah,Keuangan,0.02,-69.203.392,1.076.098.771
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Kimaya Braga Bandung by HARRIS,Penginapan,0.05,-6.920.773,107.610.037
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Hotel Savoy Homann Bandung,Penginapan,0.17,-6.921.855.599.999.990,1.076.102.631
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Chez Bon Hostel,Penginapan,0.19,-69.187.277,1.076.095.318
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,The Naripan Hotel,Penginapan,0.2,-69.196.594,1.076.117.445
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,PT. Garuda Indonesia (Persero) Tbk.,Lainnya,0.2,-6.921.185,1.076.116.829
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Gino Feruci Braga Hotel,Penginapan,0.3,-69.178.718,1.076.090.829
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Dipo Star Finance Bandung,Keuangan,0.3,-69.206.644,1.076.073.827
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,RedDoorz Near Braga Street,Penginapan,0.31,-6.918.478.500.000.000,1.076.121.592
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Asosiasi Pengendali Pencemaran Lingkungan Indonesia,Lainnya,0.33,-6.920.014.999.999.990,107.613.058
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Istana Hotel Bandung Mitra RedDoorz,Penginapan,0.35,-69.178.663,1.076.119.679
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Hotel Mawar,Penginapan,0.37,-69.236.328,1.076.098.026
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,favehotel Braga Bandung,Penginapan,0.39,-6.916.959.499.999.990,1.076.091.119
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Bank Mandiri KC Bandung Asia North Africa,Keuangan,0.39,-6.921.583,107.613.429
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,PT Centrin Online Prima,Belanja,0.41,-6.916.727.799.999.990,1.076.091.891
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Rumah Sakit Umum Bungsu,Kesehatan,0.41,-69.185.474,1.076.133.476
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,PT Asuransi Asei Indonesia,Keuangan,0.43,-6.921.399.799.999.990,1.076.138.091
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,Senior High School Pasundan 1,Pendidikan,0.45,-6.923.596.700.000.000,1.076.076.382
ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,éL Hotel Bandung,Penginapan,0.47,-69.162.005,1.076.106.178
